cmun,dist,secc,poblacio,codi_edar
8019,6,9,1278,DBSS
8019,6,10,1069,DBSS
8019,6,11,1304,DBSS
8019,6,12,1156,DBSS
8019,6,13,1783,DBSS
8019,6,14,1439,DBSS
8019,6,15,1422,DBSS
8019,6,16,1616,DBSS
8019,6,17,1330,DBSS
8019,6,18,1324,DBSS
8019,6,19,1472,DBSS
8019,6,20,1159,DBSS
8019,6,21,1358,DBSS
8019,6,22,1340,DBSS
8019,6,23,1298,DBSS
8019,6,24,1716,DBSS
8019,6,25,1396,DBSS
8019,6,26,1017,DBSS
8019,6,27,1202,DBSS
8019,6,28,1312,DBSS
8019,6,29,1266,DBSS
8019,6,30,1337,DBSS
8019,6,31,1087,DBSS
8019,6,32,1156,DBSS
8019,6,33,1269,DBSS
8019,6,34,1196,DBSS
8019,6,35,1058,DBSS
8019,6,36,1446,DBSS
8019,6,37,1124,DBSS
8019,6,38,1461,DBSS
8019,6,39,1541,DBSS
8019,6,40,1639,DBSS
8019,6,41,1707,DBSS
8019,6,42,1662,DBSS
8019,6,43,1237,DBSS
8019,6,44,1535,DBSS
8019,6,45,1264,DBSS
8019,6,46,1124,DBSS
8019,6,47,1196,DBSS
8019,6,48,1359,DBSS
8019,6,49,1128,DBSS
8019,6,50,1304,DBSS
8019,6,51,1208,DBSS
8019,6,52,1464,DBSS
8019,6,53,1475,DBSS
8019,6,54,1596,DBSS
8019,6,55,1416,DBSS
8019,6,56,1538,DBSS
8019,6,57,1512,DBSS
8019,6,58,1691,DBSS
8019,6,59,1481,DBSS
8019,6,60,1754,DBSS
8019,6,61,1293,DBSS
8019,6,62,1194,DBSS
8019,6,63,1462,DBSS
8019,6,64,1895,DBSS
8019,6,65,1147,DBSS
8019,6,66,970,DBSS
8019,6,67,1745,DBSS
8019,6,68,1536,DBSS
8019,6,69,1068,DBSS
8019,6,70,1817,DBSS
8019,6,71,1082,DBSS
8019,6,72,1637,DBSS
8019,6,73,1364,DBSS
8019,6,74,1125,DBSS
8019,6,75,1067,DBSS
8019,6,76,1288,DBSS
8019,6,77,1174,DBSS
8019,6,78,1285,DBSS
8019,6,79,1106,DBSS
8019,6,80,1168,DBSS
8019,6,81,1313,DBSS
8019,6,82,2653,DBSS
8019,6,83,1720,DBSS
8019,6,84,1464,DBSS
8019,6,85,1254,DBSS
8019,6,86,978,DBSS
8019,6,87,1854,DBSS
8019,6,88,1222,DBSS
8019,7,1,1567,DBSS
8019,7,2,1144,DBSS
8019,7,3,1292,DBSS
8019,7,4,1498,DBSS
8019,7,5,1421,DBSS
8019,7,6,958,DBSS
8019,7,7,1381,DBSS
8019,7,8,1414,DBSS
8019,7,9,1171,DBSS
8019,7,10,1360,DBSS
8019,7,11,1120,DBSS
8019,7,12,1540,DBSS
8019,7,13,1202,DBSS
8019,7,14,871,DBSS
8019,7,15,1425,DBSS
8019,7,16,1354,DBSS
8019,7,17,1714,DBSS
8019,7,18,1687,DBSS
8019,7,19,1482,DBSS
8019,7,20,1726,DBSS
8019,7,21,1045,DBSS
8019,7,22,1154,DBSS
8019,7,23,1295,DBSS
8019,7,24,1476,DBSS
8019,7,25,1442,DBSS
8019,7,26,1095,DBSS
8019,7,27,2083,DBSS
8019,7,28,1451,DBSS
8019,7,29,1280,DBSS
8019,7,30,1388,DBSS
8019,7,31,1591,DBSS
8019,7,32,1424,DBSS
8019,7,33,1430,DBSS
8019,7,34,1822,DBSS
8019,7,35,1764,DBSS
8019,7,36,1390,DBSS
8019,7,37,1465,DBSS
8019,7,38,1236,DBSS
8019,7,39,1607,DBSS
8019,7,40,1464,DBSS
8019,7,41,1352,DBSS
8019,7,42,1500,DBSS
8019,7,43,1407,DBSS
8019,7,44,1313,DBSS
8019,7,45,1594,DBSS
8019,7,46,1386,DBSS
8019,7,47,1473,DBSS
8019,7,48,1319,DBSS
8019,7,49,1222,DBSS
8019,7,50,1209,DBSS
8019,7,51,1769,DBSS
8019,7,52,1252,DBSS
8019,7,53,1451,DBSS
8019,7,54,1587,DBSS
8019,7,55,1187,DBSS
8019,7,56,1191,DBSS
8019,7,57,1438,DBSS
8019,7,58,1352,DBSS
8019,7,59,1323,DBSS
8019,7,60,1847,DBSS
8019,7,61,1205,DBSS
8019,7,62,1358,DBSS
8019,7,63,1448,DBSS
8019,7,64,1699,DBSS
8019,7,65,1764,DBSS
8019,7,66,1794,DBSS
8019,7,67,1563,DBSS
8019,7,68,1324,DBSS
8019,7,69,1452,DBSS
8019,7,70,1460,DBSS
8019,7,71,1347,DBSS
8019,7,72,1398,DBSS
8019,7,73,1137,DBSS
8019,7,74,1705,DBSS
8019,7,75,1218,DBSS
8019,7,76,1394,DBSS
8019,7,77,1351,DBSS
8019,7,78,1392,DBSS
8019,7,79,1461,DBSS
8019,7,80,1804,DBSS
8019,7,81,1974,DBSS
8019,7,82,1266,DBSS
8019,7,83,1368,DBSS
8019,7,84,1351,DBSS
8019,7,85,1247,DBSS
8019,7,86,1437,DBSS
8019,7,87,1588,DBSS
8019,7,88,1695,DBSS
8019,7,89,1344,DBSS
8019,7,90,1463,DBSS
8019,7,91,1199,DBSS
8019,7,92,1536,DBSS
8019,7,93,1707,DBSS
8019,7,94,1244,DBSS
8019,7,95,1546,DBSS
8019,7,96,1427,DBSS
8019,7,97,854,DBSS
8019,7,98,2175,DBSS
8019,7,99,1033,DBSS
8019,7,100,1197,DBSS
8019,7,101,1477,DBSS
8019,7,102,689,DBSS
8019,7,103,1490,DBSS
8019,7,104,1551,DBSS
8019,7,105,1032,DBSS
8019,7,106,1171,DBSS
